id,technology,country.name,level,renewable,energy.source,producing.country,consuming.country,status,name,show
330,MArEUrban,Malawi,Demand,N/A,Electricity,Malawi,Malawi,N/A,Urban/Services/Small Industry,yes
331,MArEXelc,Malawi,Export,N/A,Electricity,Malawi,Malawi,N/A,Electricity Export,no
332,MArGas,Malawi,Energy Source,Not renewable,Gas,Malawi,Malawi,N/A,Gas,yes
333,MArIMIelc,Malawi,Import,N/A,Electricity,Malawi,Malawi,N/A,Electricity Import,no
334,MArNuclear,Malawi,Energy Source,Not renewable,Nuclear,Malawi,Malawi,N/A,Nuclear,yes
335,MArOHF,Malawi,Energy Source,Not renewable,OHF,Malawi,Malawi,N/A,OHF,yes
336,MArOil,Malawi,Energy Source,Not renewable,Oil,Malawi,Malawi,N/A,Oil,yes
337,MOrBiomass,Mozambique,Energy Source,Renewable,Biomass,Mozambique,Mozambique,N/A,Biomass,yes
338,MOrCoal,Mozambique,Energy Source,Not renewable,Coal,Mozambique,Mozambique,N/A,Coal,yes
339,MOrCoalCCS,Mozambique,Energy Source,Not renewable,CoalCCS,Mozambique,Mozambique,N/A,CoalCCS,yes
340,MOrCrude,Mozambique,Energy Source,Not renewable,Crude,Mozambique,Mozambique,N/A,Crude,yes
341,MOrDiesel,Mozambique,Energy Source,Not renewable,Diesel,Mozambique,Mozambique,N/A,Diesel,yes
342,MOrEBZ,Mozambique,Demand,N/A,Electricity,Mozambique,Mozambique,N/A,Unserved Energy,yes
343,MOrEDist,Mozambique,Distribution,N/A,Electricity,Mozambique,Mozambique,N/A,Heavy Industry,no
344,MOrEDistRural,Mozambique,Distribution,N/A,Electricity,Mozambique,Mozambique,N/A,Rural,no
345,MOrEDistUrban,Mozambique,Distribution,N/A,Electricity,Mozambique,Mozambique,N/A,Urban/Services/Small Industry,no
346,MOrEInd,Mozambique,Demand,N/A,Electricity,Mozambique,Mozambique,N/A,Heavy Industry,yes
347,MOrEPBIONU,Mozambique,Centralised Generation,Renewable,Biomass,Mozambique,Mozambique,New Uncommitted,Biomass,yes
348,MOrEPCOANUSC,Mozambique,Centralised Generation,Not renewable,Coal,Mozambique,Mozambique,New Uncommitted,Supercritical coal,yes
349,MOrEPCOANUSCben,Mozambique,Centralised Generation,Not renewable,Coal,Mozambique,Mozambique,New Uncommitted,Benga Coal,yes
350,MOrEPCOANUSCmoa,Mozambique,Centralised Generation,Not renewable,Coal,Mozambique,Mozambique,New Uncommitted,Moatize coal,yes
351,MOrEPCOCNUCCS,Mozambique,Centralised Generation,Not renewable,Coal,Mozambique,Mozambique,New Uncommitted,Supercritical coal w CCS,yes
352,MOrEPGASNUCC,Mozambique,Centralised Generation,Not renewable,Gas,Mozambique,Mozambique,New Uncommitted,CCGT,yes
353,MOrEPGASNUCCtem,Mozambique,Centralised Generation,Not renewable,Gas,Mozambique,Mozambique,New Uncommitted,Temane (Aggreko) gas,yes
354,MOrEPGASNUOC,Mozambique,Centralised Generation,Not renewable,Gas,Mozambique,Mozambique,New Uncommitted,OCGT,yes
355,MOrEPGASNUSO,Mozambique,Centralised Generation,Not renewable,Gas,Mozambique,Mozambique,New Uncommitted,Solar thermal with gas co-firing,yes
356,MOrEPGEONU,Mozambique,Centralised Generation,Not renewable,Gas,Mozambique,Mozambique,New Uncommitted,Geothermal,yes
357,MOrEPHYDEXcaba,Mozambique,Centralised Generation,Renewable,Hydro,Mozambique,Mozambique,Existing,Cahora Bassa,yes
358,MOrEPHYDEXoth,Mozambique,Centralised Generation,Renewable,Hydro,Mozambique,Mozambique,Existing,Other Hydros,yes
359,MOrEPHYDNU,Mozambique,Centralised Generation,Renewable,Hydro,Mozambique,Mozambique,New Uncommitted,Hydro,yes
360,MOrEPHYDNUhcb,Mozambique,Centralised Generation,Renewable,Hydro,Mozambique,Mozambique,New Uncommitted,HCB North Bank hydro,yes
361,MOrEPHYDNUlur,Mozambique,Centralised Generation,Renewable,Hydro,Mozambique,Mozambique,New Uncommitted,Lurio Hydro,yes
362,MOrEPHYDNUmas,Mozambique,Centralised Generation,Renewable,Hydro,Mozambique,Mozambique,New Uncommitted,Massingir hydro,yes
363,MOrEPHYDNUmic,Mozambique,Distributed Generation,Renewable,Hydro,Mozambique,Mozambique,New Uncommitted,Small Hydro,yes
364,MOrEPHYDNUmpn,Mozambique,Centralised Generation,Renewable,Hydro,Mozambique,Mozambique,New Uncommitted,Mphanda Nkuwa hydro,yes
365,MOrEPHYDNUqno,Mozambique,Centralised Generation,Renewable,Hydro,Mozambique,Mozambique,New Uncommitted,Quedas & Ocua hydro,yes
366,MOrEPNUCNUPW,Mozambique,Centralised Generation,Not renewable,Nuclear,Mozambique,Mozambique,New Uncommitted,PWR nuclear,yes
367,MOrEPODSEXOC,Mozambique,Centralised Generation,Not renewable,Oil,Mozambique,Mozambique,Existing,Existing Distillate,yes
368,MOrEPODSNU,Mozambique,Centralised Generation,Not renewable,Oil,Mozambique,Mozambique,New Uncommitted,Diesel,yes
369,MOrEPODSNUind,Mozambique,Distributed Generation,Not renewable,Oil,Mozambique,Mozambique,New Uncommitted,Diesel 100 kW system (industry),yes
370,MOrEPODSNUrur,Mozambique,Distributed Generation,Not renewable,Oil,Mozambique,Mozambique,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
371,MOrEPODSNUurb,Mozambique,Distributed Generation,Not renewable,Oil,Mozambique,Mozambique,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
372,MOrEPOHFNU,Mozambique,Centralised Generation,Not renewable,Oil,Mozambique,Mozambique,New Uncommitted,HFO,yes
373,MOrEPSOLNUPVrt,Mozambique,Distributed Generation,Renewable,Solar PV,Mozambique,Mozambique,New Uncommitted,Solar PV (roof top - urban),yes
374,MOrEPSOLNUPVrtru,Mozambique,Distributed Generation,Renewable,Solar PV,Mozambique,Mozambique,New Uncommitted,Solar PV (roof top - rural),yes
375,MOrEPSOLNUPVst,Mozambique,Distributed Generation,Renewable,Solar PV,Mozambique,Mozambique,New Uncommitted,PV with 1hr Battery (roof top - urban),yes
376,MOrEPSOLNUPVst2,Mozambique,Distributed Generation,Renewable,Solar PV,Mozambique,Mozambique,New Uncommitted,PV with 2hr Battery (roof top - urban),yes
377,MOrEPSOLNUPVstru,Mozambique,Distributed Generation,Renewable,Solar PV,Mozambique,Mozambique,New Uncommitted,PV with 1h Battery (roof top - rural),yes
378,MOrEPSOLNUPVstru2,Mozambique,Distributed Generation,Renewable,Solar PV,Mozambique,Mozambique,New Uncommitted,PV with 2h Battery (roof top - rural),yes
379,MOrEPSOLNUPVut,Mozambique,Centralised Generation,Renewable,Solar PV,Mozambique,Mozambique,New Uncommitted,Solar PV (utility),yes
380,MOrEPTSONUTH,Mozambique,Centralised Generation,Renewable,Solar Thermal,Mozambique,Mozambique,New Uncommitted,Solar thermal no storage,yes
381,MOrEPTSONUTHst,Mozambique,Centralised Generation,Renewable,Solar Thermal,Mozambique,Mozambique,New Uncommitted,Solar thermal with Storage,yes
382,MOrEPWNDNU25,Mozambique,Centralised Generation,Renewable,Wind,Mozambique,Mozambique,New Uncommitted,Bulk Wind (20% CF),yes
383,MOrEPWNDNU30,Mozambique,Centralised Generation,Renewable,Wind,Mozambique,Mozambique,New Uncommitted,Bulk Wind (30% CF),yes
384,MOrERural,Mozambique,Demand,N/A,Electricity,Mozambique,Mozambique,N/A,Rural,yes
385,MOrETrans,Mozambique,Transmission (local),N/A,Electricity,Mozambique,Mozambique,N/A,Local,no
386,MOrEUrban,Mozambique,Demand,N/A,Electricity,Mozambique,Mozambique,N/A,Urban/Services/Small Industry,yes
387,MOrEXelc,Mozambique,Export,N/A,Electricity,Mozambique,Mozambique,N/A,Electricity Export,no
388,MOrGas,Mozambique,Energy Source,Not renewable,Gas,Mozambique,Mozambique,N/A,Gas,yes
389,MOrIMIelc,Mozambique,Import,N/A,Electricity,Mozambique,Mozambique,N/A,Electricity Import,no
390,MOrNuclear,Mozambique,Energy Source,Not renewable,Nuclear,Mozambique,Mozambique,N/A,Nuclear,yes
391,MOrOHF,Mozambique,Energy Source,Not renewable,OHF,Mozambique,Mozambique,N/A,OHF,yes
392,MOrOil,Mozambique,Energy Source,Not renewable,Oil,Mozambique,Mozambique,N/A,Oil,yes
393,NArBiomass,Namibia,Energy Source,Renewable,Biomass,Namibia,Namibia,N/A,Biomass,yes
394,NArCoal,Namibia,Energy Source,Not renewable,Coal,Namibia,Namibia,N/A,Coal,yes
395,NArCoalCCS,Namibia,Energy Source,Not renewable,CoalCCS,Namibia,Namibia,N/A,CoalCCS,yes
396,NArCrude,Namibia,Energy Source,Not renewable,Crude,Namibia,Namibia,N/A,Crude,yes
397,NArDiesel,Namibia,Energy Source,Not renewable,Diesel,Namibia,Namibia,N/A,Diesel,yes
398,NArEBZ,Namibia,Demand,N/A,Electricity,Namibia,Namibia,N/A,Unserved Energy,yes
399,NArEDist,Namibia,Distribution,N/A,Electricity,Namibia,Namibia,N/A,Heavy Industry,no
400,NArEDistRural,Namibia,Distribution,N/A,Electricity,Namibia,Namibia,N/A,Rural,no
401,NArEDistUrban,Namibia,Distribution,N/A,Electricity,Namibia,Namibia,N/A,Urban/Services/Small Industry,no
402,NArEInd,Namibia,Demand,N/A,Electricity,Namibia,Namibia,N/A,Heavy Industry,yes
403,NArEPBIONU,Namibia,Centralised Generation,Renewable,Biomass,Namibia,Namibia,New Uncommitted,Biomass,yes
404,NArEPCOAEXPF,Namibia,Centralised Generation,Not renewable,Coal,Namibia,Namibia,Existing,Van Eck,yes
405,NArEPCOANUSC,Namibia,Centralised Generation,Not renewable,Coal,Namibia,Namibia,New Uncommitted,Supercritical coal,yes
406,NArEPCOANUSCwal,Namibia,Centralised Generation,Not renewable,Coal,Namibia,Namibia,New Uncommitted,Walvis coal,yes
407,NArEPCOCNUCCS,Namibia,Centralised Generation,Not renewable,Coal,Namibia,Namibia,New Uncommitted,Supercritical coal w CCS,yes
408,NArEPGASNUCC,Namibia,Centralised Generation,Not renewable,Gas,Namibia,Namibia,New Uncommitted,CCGT,yes
409,NArEPGASNUCCkud,Namibia,Centralised Generation,Not renewable,Gas,Namibia,Namibia,New Uncommitted,Kudu gas,yes
410,NArEPGASNUOC,Namibia,Centralised Generation,Not renewable,Gas,Namibia,Namibia,New Uncommitted,OCGT,yes
411,NArEPGASNUSO,Namibia,Centralised Generation,Not renewable,Gas,Namibia,Namibia,New Uncommitted,Solar thermal with gas co-firing,yes
412,NArEPGEONU,Namibia,Centralised Generation,Not renewable,Gas,Namibia,Namibia,New Uncommitted,Geothermal,yes
413,NArEPHYDEX,Namibia,Centralised Generation,Renewable,Hydro,Namibia,Namibia,Existing,Ruacana,yes
414,NArEPHYDNU,Namibia,Centralised Generation,Renewable,Hydro,Namibia,Namibia,New Uncommitted,Hydro,yes
415,NArEPHYDNUbay,Namibia,Centralised Generation,Renewable,Hydro,Namibia,Namibia,New Uncommitted,Baynes hydro,yes
416,NArEPHYDNUmic,Namibia,Distributed Generation,Renewable,Hydro,Namibia,Namibia,New Uncommitted,Small Hydro,yes
417,NArEPNUCNUPW,Namibia,Centralised Generation,Not renewable,Nuclear,Namibia,Namibia,New Uncommitted,PWR nuclear,yes
418,NArEPODSEXOC,Namibia,Centralised Generation,Not renewable,Oil,Namibia,Namibia,Existing,Paratus,yes
419,NArEPODSNU,Namibia,Centralised Generation,Not renewable,Oil,Namibia,Namibia,New Uncommitted,Diesel,yes
420,NArEPODSNUind,Namibia,Distributed Generation,Not renewable,Oil,Namibia,Namibia,New Uncommitted,Diesel 100 kW system (industry),yes
421,NArEPODSNUrur,Namibia,Distributed Generation,Not renewable,Oil,Namibia,Namibia,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
